Test Name,Execution Time (s),Memory Usage (MB),CPU Usage (%),Status
Matrix Multiplication 500x500,0.234,95.4,87.3,Pass
Matrix Multiplication 1000x1000,1.892,381.5,92.1,Pass
Fibonacci Recursive n=25,0.045,12.3,45.2,Pass
Fibonacci Recursive n=30,0.512,12.5,48.7,Pass
List Comprehension 100k,0.018,7.8,23.4,Pass
List Comprehension 1M,0.195,76.5,25.8,Pass
Numpy Array Operations,0.089,145.2,78.9,Pass
Pandas DataFrame Operations,0.342,234.5,65.4,Pass
Async IO Operations,2.145,45.6,12.3,Pass
Multiprocessing Pool,1.234,89.7,95.6,Pass
